obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"686.3200"	"0.0010"	"686.3171+"	"20"	""		"80118.962"	"94685.467"	"5p5.(2P*<3/2>).6p"	"2[1/2]"	"0"	"5p5.(2P*<3/2>).8d"	"2[3/2]*"	"1"		""	"L4739"	
"686.5580"	"0.0010"	"686.5536+"	"5"	""		"80196.629"	"94758.116"	"5p5.(2P*<3/2>).5d"	"2[7/2]*"	"4"	"5p5.(2P*<3/2>).6f"	"2[5/2]"	"3"		""	"L4739"	
"686.6838"	"0.0002"	"686.6842+"	"50"	"9.20e+05"	B	"78119.798"	"92678.516"	"5p5.(2P*<3/2>).6p"	"2[5/2]"	"2"	"5p5.(2P*<3/2>).7d"	"2[5/2]*"	"2"		"T5099"	"L7292"	
"687.2107"	"0.0002"	"687.2105+"	"100"	""		"80196.629"	"94744.198"	"5p5.(2P*<3/2>).5d"	"2[7/2]*"	"4"	"5p5.(2P*<3/2>).6f"	"2[9/2]"	"5"		""	"L7292"	
"688.2155"	"0.0002"	"688.2154+"	"300"	"5.83e+06"	B	"78119.798"	"92646.125"	"5p5.(2P*<3/2>).6p"	"2[5/2]"	"2"	"5p5.(2P*<3/2>).7d"	"2[7/2]*"	"3"		"T5099"	"L7292"	
"691.0820"	"0.0010"	"691.0818+"	"30"	"7.40e+05"	B+	"78956.031"	"93422.108"	"5p5.(2P*<3/2>).6p"	"2[3/2]"	"1"	"5p5.(2P*<3/2>).9s"	"2[3/2]*"	"1"		"T5818"	"L4739"	
"692.2220"	"0.0010"	"692.2233+"	"8"	"3.0e+04"	D+	"78956.031"	"93398.253"	"5p5.(2P*<3/2>).6p"	"2[3/2]"	"1"	"5p5.(2P*<3/2>).9s"	"2[3/2]*"	"2"		"T5818"	"L4739"	
"692.4670"	"0.0010"	"692.4646+"	"15"	""		"80322.746"	"94759.935"	"5p5.(2P*<3/2>).5d"	"2[3/2]*"	"2"	"5p5.(2P*<3/2>).6f"	"2[5/2]"	"2"		""	"L4739"	
"692.5530"	"0.0010"	"692.5518+"	"100"	""		"80322.746"	"94758.116"	"5p5.(2P*<3/2>).5d"	"2[3/2]*"	"2"	"5p5.(2P*<3/2>).6f"	"2[5/2]"	"3"		""	"L4739"	
"693.5620"	"0.0010"	"693.5606+"	"50"	""		"80322.746"	"94737.121"	"5p5.(2P*<3/2>).5d"	"2[3/2]*"	"2"	"5p5.(2P*<3/2>).6f"	"2[3/2]"	"2"		""	"L4739"	
"693.6690"	"0.0010"	"693.6683+"	"8"	""		"80322.746"	"94734.882"	"5p5.(2P*<3/2>).5d"	"2[3/2]*"	"2"	"5p5.(2P*<3/2>).6f"	"2[3/2]"	"1"		""	"L4739"	
"694.9760"	"0.0010"	"694.9746+"	""	""		"68045.156"	"82430.204"	"5p5.(2P*<3/2>).6s"	"2[3/2]*"	"1"	"5p5.(2P*<3/2>).5d"	"2[5/2]*"	"3"	E2	""	"L4739"	
"696.110"	"0.020"	"696.13+"	"20"	""		"91746.564"	"106107.8"	"5p5.(2P*<1/2>).5d"	"2[5/2]*"	"3"	"5p5.(2P*<1/2>).7f"	"2[7/2]"	"4"		""	"L4103"	
"697.6182"	"0.0002"	"697.6182+"	"100"	"1.91e+06"	B	"78403.061"	"92733.597"	"5p5.(2P*<3/2>).6p"	"2[5/2]"	"3"	"5p5.(2P*<3/2>).7d"	"2[5/2]*"	"3"		"T5099"	"L7292"	
"698.2050"	"0.0010"	"698.2061+"	"30"	""		"78403.061"	"92721.530"	"5p5.(2P*<3/2>).6p"	"2[5/2]"	"3"	"5p5.(2P*<3/2>).7d"	"2[3/2]*"	"2"		""	"L4739"	
"699.1650"	"0.0010"	"699.163+"	"1"	""		"79986.618"	"94285.50"	"5p5.(2P*<3/2>).5d"	"2[1/2]*"	"1"	"5p5.(2P*<3/2>).9p"	"2[1/2]"	"0"		""	"L4739"	
"700.3100"	"0.0010"	"700.3099+"	"4"	""		"78403.061"	"92678.516"	"5p5.(2P*<3/2>).6p"	"2[5/2]"	"3"	"5p5.(2P*<3/2>).7d"	"2[5/2]*"	"2"		""	"L4739"	
"701.9020"	"0.0010"	"701.9026+"	"30"	"3.5e+05"	C	"78403.061"	"92646.125"	"5p5.(2P*<3/2>).6p"	"2[5/2]"	"3"	"5p5.(2P*<3/2>).7d"	"2[7/2]*"	"3"		"T5099"	"L4739"	
"703.4800"	"0.0010"	"703.475+"	"3"	""		"80970.438"	"95181.66"	"5p5.(2P*<3/2>).5d"	"2[7/2]*"	"3"	"5p5.(2P*<3/2>).10p"	"2[5/2]"	"2"		""	"L4739"	
"703.5530"	"0.0010"	"703.5534+"	"20"	"4.00e+05"	B+	"79212.465"	"93422.108"	"5p5.(2P*<3/2>).6p"	"2[3/2]"	"2"	"5p5.(2P*<3/2>).9s"	"2[3/2]*"	"1"		"T5818"	"L4739"	
"704.7370"	"0.0010"	"704.743+"	"30*"	""		"81925.514"	"96111.17"	"5p5.(2P*<3/2>).5d"	"2[5/2]*"	"2"	"5p5.(2P*<3/2>).8f"	"2[7/2]"	"3"		""	"L4739"	
