obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"549.093596"	"549.09361+"	"50"	""		"91168.5150"	"109375.2875"	"4s2.4p5.(2P*<3/2>).5p"	"2[1/2]"	"1"	"4s2.4p5.(2P*<3/2>).7d"	"2[3/2]*"	"2"		""	"L11281"	
"549.133"	"549.1335+"	"2h"	""		"92307.3786"	"110512.827"	"4s2.4p5.(2P*<3/2>).5p"	"2[5/2]"	"2"	"4s2.4p5.(2P*<3/2>).8d"	"2[3/2]*"	"2"		""	"L7408"	
"549.277"	"549.2751+"	"1"	""		"92307.3786"	"110508.136"	"4s2.4p5.(2P*<3/2>).5p"	"2[5/2]"	"2"	"4s2.4p5.(2P*<3/2>).8d"	"2[5/2]*"	"3"		""	"L7408"	
"549.621"	"549.62005+"	"3"	""		"92307.3786"	"110496.7122"	"4s2.4p5.(2P*<3/2>).5p"	"2[5/2]"	"2"	"4s2.4p5.(2P*<3/2>).8d"	"2[5/2]*"	"2"		""	"L7408"	
"550.071011"	"550.07101+"	"50"	""		"91168.5150"	"109342.9368"	"4s2.4p5.(2P*<3/2>).5p"	"2[1/2]"	"1"	"4s2.4p5.(2P*<3/2>).7d"	"2[1/2]*"	"1"		""	"L11281"	
"550.40053"	"550.40055+"	"15"	""		"92307.3786"	"110470.9189"	"4s2.4p5.(2P*<3/2>).5p"	"2[5/2]"	"2"	"4s2.4p5.(2P*<3/2>).8d"	"2[7/2]*"	"3"		""	"L11281"	
"550.43304"	"550.43307+"	"20"	""		"91168.5150"	"109330.9822"	"4s2.4p5.(2P*<3/2>).5p"	"2[1/2]"	"1"	"4s2.4p5.(2P*<3/2>).7d"	"2[1/2]*"	"0"		""	"L11281"	
"551.66665"	"551.66661+"	"20"	"1.54e+04"	C	"85191.6166"	"103313.4726"	"4s2.4p5.(2P*<1/2>).5s"	"2[1/2]*"	"0"	"4s2.4p5.(2P*<3/2>).6p"	"2[3/2]"	"1"		"T3952n,T3378"	"L11281"	
"552.051024"	"552.05102+"	"40"	""		"92294.4012"	"110403.6385"	"4s2.4p5.(2P*<3/2>).5p"	"2[5/2]"	"3"	"4s2.4p5.(2P*<3/2>).8d"	"2[7/2]*"	"4"		""	"L11281"	
"552.117"	"552.118+"	"3"	""		"92964.3943"	"111071.45"	"4s2.4p5.(2P*<3/2>).5p"	"2[3/2]"	"1"	"4s2.4p5.(2P*<3/2>).9d"	"2[5/2]*"	"2"		""	"L7408"	
"552.863"	"552.862+"	"2-"	""		"92964.3943"	"111047.07"	"4s2.4p5.(2P*<3/2>).5p"	"2[3/2]"	"1"	"4s2.4p5.(2P*<3/2>).9d"	"2[3/2]*"	"2"		""	"L7408"	
"553.94"	"553.940+"	"1h"	""		"93123.3409"	"111170.83"	"4s2.4p5.(2P*<3/2>).5p"	"2[3/2]"	"2"	"4s2.4p5.(2P*<3/2>).11s"	"2[3/2]*"	"1"		""	"L7408"	
"554.210"	"554.2131+"	"1"	""		"92964.3943"	"111002.984"	"4s2.4p5.(2P*<3/2>).5p"	"2[3/2]"	"1"	"4s2.4p5.(2P*<3/2>).9d"	"2[1/2]*"	"1"		""	"L4004"	
"554.44"	"554.445+"	"1h"	""		"93123.3409"	"111154.40"	"4s2.4p5.(2P*<3/2>).5p"	"2[3/2]"	"2"	"4s2.4p5.(2P*<3/2>).11s"	"2[3/2]*"	"2"		""	"L7408"	
