obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
""	"470.2503"	""	"9.15e+06"	C+	"223688.45"	"244947.77"	"2s.2p2.(4P).3p"	"5D*"	"2"	"2s.2p2.(4P).3d"	"5D"	"2"		"T5520LS"	""	
""	"470.4247"	""	"2.13e+07"	C+	"223688.45"	"244939.89"	"2s.2p2.(4P).3p"	"5D*"	"2"	"2s.2p2.(4P).3d"	"5D"	"1"		"T5520LS"	""	
""	"470.6400"	""	"6.09e+06"	C+	"223731.59"	"244973.31"	"2s.2p2.(4P).3p"	"5D*"	"3"	"2s.2p2.(4P).3d"	"5D"	"4"		"T5520LS"	""	
""	"470.9435"	""	"1.49e+05"	B	"168892.21"	"190120.24"	"2s2.2p.3p"	"3S"	"1"	"2s2.2p.3d"	"1P*"	"1"		"T7333"	""	
""	"470.9584"	""	"1.82e+07"	C+	"223731.59"	"244958.95"	"2s.2p2.(4P).3p"	"5D*"	"3"	"2s.2p2.(4P).3d"	"5D"	"3"		"T5520LS"	""	
""	"471.2065"	""	"1.46e+07"	C+	"223731.59"	"244947.77"	"2s.2p2.(4P).3p"	"5D*"	"3"	"2s.2p2.(4P).3d"	"5D"	"2"		"T5520LS"	""	
""	"471.8377"	""	"3.02e+07"	C+	"223785.51"	"244973.31"	"2s.2p2.(4P).3p"	"5D*"	"4"	"2s.2p2.(4P).3d"	"5D"	"4"		"T5520LS"	""	
""	"472.1577"	""	"7.75e+06"	C+	"223785.51"	"244958.95"	"2s.2p2.(4P).3p"	"5D*"	"4"	"2s.2p2.(4P).3d"	"5D"	"3"		"T5520LS"	""	
""	"477.4244"	""	"3.07e+06"	B	"166521.69"	"187461.56"	"2s2.2p.3p"	"3D"	"1"	"2s2.2p.3d"	"3D*"	"2"		"T7333"	""	
""	"477.6224"	""	"1.03e+07"	B	"202170.63"	"223101.82"	"2s2.2p.4p"	"1P"	"1"	"2s2.2p.6s"	"1P*"	"1"		"T5520"	""	
""	"477.9722"	""	"2.49e+07"	B	"166521.69"	"187437.56"	"2s2.2p.3p"	"3D"	"1"	"2s2.2p.3d"	"3D*"	"1"		"T7333"	""	
""	"478.1190"	""	"1.92e+06"	B	"166582.45"	"187491.90"	"2s2.2p.3p"	"3D"	"2"	"2s2.2p.3d"	"3D*"	"3"		"T7333"	""	
"478.813"	"478.8138"	"285"	"2.50e+07"	B	"166582.45"	"187461.56"	"2s2.2p.3p"	"3D"	"2"	"2s2.2p.3d"	"3D*"	"2"		"T7333"	"L3513"	
""	"479.3648"	""	"7.73e+06"	B	"166582.45"	"187437.56"	"2s2.2p.3p"	"3D"	"2"	"2s2.2p.3d"	"3D*"	"1"		"T7333"	""	
