obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"545.19"	"0.02"	"545.236"	"0.015"	""	""		"268513.9"	"286849.5"	"2p5.(2P*).3s.3p.(3P*)"	"4P"	"5/2"	"2p5.3s.(3P*).4s"	"4P*"	"3/2"		""	"L10065"	
"546.64"	"0.05"	"546.65"	"0.03"	""	""		"269086.5"	"287374.8"	"2p5.(2P*).3s.3p.(3P*)"	"4P"	"1/2"	"2p5.3s.(3P*).4s"	"4P*"	"1/2"		""	"L10065"	
"556.99"	"0.09"	"556.883"	"0.019"	""	""		"268897.4"	"286849.5"	"2p5.(2P*).3s.3p.(3P*)"	"4P"	"3/2"	"2p5.3s.(3P*).4s"	"4P*"	"3/2"		""	"L10065"	
"562.10"	"0.02"	"562.068"	"0.016"	"42"	"1.4e+07"	D	"268513.9"	"286300.4"	"2p5.(2P*).3s.3p.(3P*)"	"4P"	"5/2"	"2p5.3s.(3P*).4s"	"4P*"	"5/2"		"T5209"	"L6269"	
"562.85"	"0.05"	"562.81"	"0.04"	""	""		"269086.5"	"286849.5"	"2p5.(2P*).3s.3p.(3P*)"	"4P"	"1/2"	"2p5.3s.(3P*).4s"	"4P*"	"3/2"		""	"L10065"	
"568.26333"	"0.00005"	"568.26333"	"0.00006"	"5"	"1.01e+07"	A	"16956.17025"	"34548.764"	"2p6.3p"	"2P*"	"1/2"	"2p6.4d"	"2D"	"3/2"		"c30"	"L15039"	
"568.81934"	"0.00005"	"568.81933"	"0.00006"	"1"	"2.02e+06"	A	"16973.36619"	"34548.764"	"2p6.3p"	"2P*"	"3/2"	"2p6.4d"	"2D"	"3/2"		"c30"	"L15039"	
"568.82046"	"0.00005"	"568.82047"	"0.00006"	"9"	"1.21e+07"	A	"16973.36619"	"34548.729"	"2p6.3p"	"2P*"	"3/2"	"2p6.4d"	"2D"	"5/2"		"c30"	"L15039"	
"574.42"	"0.02"	"574.454"	"0.017"	"12"	"4.e+06"	D	"268897.4"	"286300.4"	"2p5.(2P*).3s.3p.(3P*)"	"4P"	"3/2"	"2p5.3s.(3P*).4s"	"4P*"	"5/2"		"T5209"	"L6269"	
"588.995095"	"0.000003"	"588.995094"	"0.000003"	"80000"	"6.16e+07"	AA	"0.00000"	"16973.36619"	"2p6.3s"	"2S"	"1/2"	"2p6.3p"	"2P*"	"3/2"		"T6617,T6568,T6567"	"L5918"	
"589.592424"	"0.000003"	"589.592424"	"0.000003"	"40000"	"6.14e+07"	AA	"0.00000"	"16956.17025"	"2p6.3s"	"2S"	"1/2"	"2p6.3p"	"2P*"	"1/2"		"T6617,T6567"	"L5918"	
"615.42253"	"0.00005"	"615.42255"	"0.00008"	"1"	"2.50e+06"	A	"16956.17025"	"33200.673"	"2p6.3p"	"2P*"	"1/2"	"2p6.5s"	"2S"	"1/2"		"c30"	"L15039"	
"616.07470"	"0.00005"	"616.07471"	"0.00008"	"2"	"4.98e+06"	A	"16973.36619"	"33200.673"	"2p6.3p"	"2P*"	"3/2"	"2p6.5s"	"2S"	"1/2"		"c30"	"L15039"	
""	""	"663.19524"	"0.00016"	""	"6.3e+03"	C'	"25739.999"	"[40814.352]"	"2p6.4s"	"2S"	"1/2"	"2p6.14p"	"2P*"	"3/2"		"T817"	""	
""	""	"663.19872"	"0.00016"	""	"6.3e+03"	C'	"25739.999"	"[40814.273]"	"2p6.4s"	"2S"	"1/2"	"2p6.14p"	"2P*"	"1/2"		"T817"	""	
""	""	"668.02155"	"0.00016"	""	"8.5e+03"	C'	"25739.999"	"[40705.444]"	"2p6.4s"	"2S"	"1/2"	"2p6.13p"	"2P*"	"3/2"		"T817"	""	
""	""	"668.02601"	"0.00016"	""	"8.5e+03"	C'	"25739.999"	"[40705.344]"	"2p6.4s"	"2S"	"1/2"	"2p6.13p"	"2P*"	"1/2"		"T817"	""	
""	""	"674.30854"	"0.00016"	""	"1.11e+04"	C'	"25739.999"	"[40565.913]"	"2p6.4s"	"2S"	"1/2"	"2p6.12p"	"2P*"	"3/2"		"T817"	""	
