obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"620.29740"	"0.00040"	"620.29761"	"0.00005"	"150"	"2.44e+05"	C	"150858.5079"	"166975.3424"	"2s2.2p5.(2P*<1/2>).3p"	"2[3/2]"	"2"	"2s2.2p5.(2P*<3/2>).4d"	"2[1/2]*"	"1"		"T6976"	"L4498"	
"620.57775"	"0.00004"	"620.57766"	"0.00005"	"1000"	"1.52e+06"	C+	"150917.4307"	"167026.9923"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"0"	"2s2.2p5.(2P*<3/2>).4d"	"2[3/2]*"	"1"		"T6976"	"L3451"	
"621.38758"	"0.00004"	"621.38757"	"0.00005"	"1500"	"2.85e+06"	B+	"149824.2215"	"165912.7861"	"2s2.2p5.(2P*<3/2>).3p"	"2[5/2]"	"2"	"2s2.2p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"		"T2734"	"L3451"	
"621.72812"	"0.00005"	"621.72812"	"0.00010"	"10000"	"6.37e+06"	B+	"134041.8400"	"150121.5922"	"2s2.2p5.(2P*<3/2>).3s"	"2[3/2]*"	"2"	"2s2.2p5.(2P*<3/2>).3p"	"2[3/2]"	"1"		"T2733"	"L7292"	
"622.57350"	"0.00040"	"622.57375"	"0.00005"	"500"	"6.19e+05"	C+	"150917.4307"	"166975.3424"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"0"	"2s2.2p5.(2P*<3/2>).4d"	"2[1/2]*"	"1"		"T6976"	"L4498"	
"624.67294"	"0.00004"	"624.67274"	"0.00006"	"1000"	"7.97e+05"	B+	"149824.2215"	"165828.1766"	"2s2.2p5.(2P*<3/2>).3p"	"2[5/2]"	"2"	"2s2.2p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"		"T2734"	"L3451"	
"624.9593"	"0.0020"	"624.95919"	"0.00006"	"50"	""		"152970.7328"	"168967.3526"	"2s2.2p5.(2P*<1/2>).3p"	"2[1/2]"	"0"	"2s2.2p5.(2P*<3/2>).6s"	"2[3/2]*"	"1"		""	"L3469"	
"625.2732"	"0.0020"	"625.27502"	"0.00006"	"20"	""		"151038.4524"	"167026.9923"	"2s2.2p5.(2P*<1/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).4d"	"2[3/2]*"	"1"		""	"L3469"	
"625.87884"	"0.00040"	"625.87896"	"0.00006"	"1000"	"6.06e+05"	C+	"151038.4524"	"167011.5643"	"2s2.2p5.(2P*<1/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).4d"	"2[3/2]*"	"2"		"T6976"	"L4498"	
"626.64952"	"0.00005"	"626.64950"	"0.00010"	"10000"	"2.49e+07"	B+	"134818.6405"	"150772.1118"	"2s2.2p5.(2P*<1/2>).3s"	"2[1/2]*"	"0"	"2s2.2p5.(2P*<1/2>).3p"	"2[3/2]"	"1"		"T2733"	"L7292"	
