obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"659.5325"	"659.5326+"	"740"	"3.8e+07"	B+	"9033.966"	"24192.033"	"6s.5d"	"3D"	"1"	"5d.6p"	"3D*"	"1"		"T5037,T5495"	"L9224"	
"665.4114"	"665.4114+"	"9"	""		"22064.645"	"37088.794"	"5d.6p"	"3F*"	"2"	"5d.6d"	"3F"	"2"		""	"L9224"	
"667.5270"	"667.5270+"	"462"	"1.89e+07"	B+	"9215.501"	"24192.033"	"6s.5d"	"3D"	"2"	"5d.6p"	"3D*"	"1"		"T5037,T5495"	"L9224"	
"669.3842"	"669.3842+"	"454"	"1.46e+07"	B	"9596.533"	"24531.513"	"6s.5d"	"3D"	"3"	"5d.6p"	"3D*"	"2"		"T5037,T5495"	"L9224"	
"677.1858"	"677.1860+"	"4"	""		"23074.387"	"37837.305"	"5d.6p"	"1D*"	"2"	"5d.6d"	"1D"	"2"		""	"L9224"	
"686.5686"	"686.5686+"	"62"	"7.8e+06"	E	"11395.350"	"25956.519"	"6s.5d"	"1D"	"2"	"5d.6p"	"3P*"	"2"		"T4515"	"L9224"	
"686.7905"	"686.7905+"	"8"	""		"22947.423"	"37503.887"	"5d.6p"	"3F*"	"3"	"5d.6d"	"3F"	"3"		""	"L9224"	
"696.1482"	"696.1486+"	"1"	""		"23074.387"	"37435.176"	"5d.6p"	"1D*"	"2"	"6s.8d"	"1D"	"2"		""	"L9224"	
"705.9943"	"705.9943+"	"770"	"5.0e+07"	C	"9596.533"	"23757.049"	"6s.5d"	"3D"	"3"	"5d.6p"	"3F*"	"4"		"T5495"	"L9224"	
"708.9908"	"708.9908+"	"6"	""		"22064.645"	"36165.312"	"5d.6p"	"3F*"	"2"	"5d.6d"	"1F"	"3"		""	"L9224"	
"712.0331"	"712.0331+"	"530"	"1.1e+07"	C	"9033.966"	"23074.387"	"6s.5d"	"3D"	"1"	"5d.6p"	"1D*"	"2"		"T5037"	"L9224"	
"715.3624"	"715.3623+"	"5"	""		"23757.049"	"37732.127"	"5d.6p"	"3F*"	"4"	"5d.6d"	"3F"	"4"		""	"L9224"	
"719.5230"	"719.5229+"	"53"	"5.6e+06"	C+	"12266.024"	"26160.293"	"6s.6p"	"3P*"	"0"	"6s.7s"	"3S"	"1"		"T5495"	"L9224"	
"722.8796"	"722.8797+"	"25"	""		"22064.645"	"35894.395"	"5d.6p"	"3F*"	"2"	"5d.6d"	"3G"	"3"		""	"L9224"	
"722.9568"	"722.9563+"	"1"	""		"23074.387"	"36902.670"	"5d.6p"	"1D*"	"2"	"6s.9s"	"3S"	"1"		""	"L9224"	
"728.0296"	"728.0296+"	"1280"	"3.2e+07"	C+	"9215.501"	"22947.423"	"6s.5d"	"3D"	"2"	"5d.6p"	"3F*"	"3"		"T5037,T5495"	"L9224"	
"735.9308"	"735.9312+"	"2"	""		"11395.350"	"24979.834"	"6s.5d"	"1D"	"2"	"5d.6p"	"3D*"	"3"		""	"L9224"	
"737.5502"	"737.5502+"	"3"	""		"23074.387"	"36629.053"	"5d.6p"	"1D*"	"2"	"5d.6d"	"3D"	"3"		""	"L9224"	
"739.2405"	"739.2406+"	"143"	"1.8e+07"	C+	"12636.623"	"26160.293"	"6s.6p"	"3P*"	"1"	"6s.7s"	"3S"	"1"		"T5495"	"L9224"	
"741.0009"	"741.0008+"	"1"	""		"24531.513"	"38023.059"	"5d.6p"	"3D*"	"2"	"5d.6d"	"3P"	"1"		""	"L9224"	
"741.7536"	"741.7536+"	"30"	"7.7e+05"	C	"9596.533"	"23074.387"	"6s.5d"	"3D"	"3"	"5d.6p"	"1D*"	"2"		"T5037"	"L9224"	
"745.9664"	"745.9664+"	"29"	""		"22947.423"	"36349.161"	"5d.6p"	"3F*"	"3"	"5d.6d"	"3G"	"4"		""	"L9224"	
"748.8075"	"748.8075+"	"253"	"7.3e+06"	C+	"9596.533"	"22947.423"	"6s.5d"	"3D"	"3"	"5d.6p"	"3F*"	"3"		"T5037,T5495"	"L9224"	
"751.3455"	"751.3455+"	"2"	""		"24531.513"	"37837.305"	"5d.6p"	"3D*"	"2"	"5d.6d"	"1D"	"2"		""	"L9224"	
"752.3642"	"752.3639+"	"1"	""		"24979.834"	"38267.616"	"5d.6p"	"3D*"	"3"	"5d.6d"	"3P"	"2"		""	"L9224"	
"761.0477"	"761.0478+"	"22"	"1.1e+06"	C	"11395.350"	"24531.513"	"6s.5d"	"1D"	"2"	"5d.6p"	"3D*"	"2"		"T5037"	"L9224"	
"763.6777"	"763.6777+"	"14"	""		"23074.387"	"36165.312"	"5d.6p"	"1D*"	"2"	"5d.6d"	"1F"	"3"		""	"L9224"	
"764.2793"	"764.2793+"	"23"	""		"23757.049"	"36837.670"	"5d.6p"	"3F*"	"4"	"5d.6d"	"3G"	"5"		""	"L9224"	
"767.2085"	"767.2085+"	"560"	"1.5e+07"	C	"9033.966"	"22064.645"	"6s.5d"	"3D"	"1"	"5d.6p"	"3F*"	"2"		"T5037"	"L9224"	
"770.6567"	"770.6568+"	"3"	""		"24531.513"	"37503.887"	"5d.6p"	"3D*"	"2"	"5d.6d"	"3F"	"3"		""	"L9224"	
"775.1753"	"775.1752+"	"3"	""		"24192.033"	"37088.794"	"5d.6p"	"3D*"	"1"	"5d.6d"	"3F"	"2"		""	"L9224"	
"778.0478"	"778.0479+"	"299"	"7.6e+06"	C	"9215.501"	"22064.645"	"6s.5d"	"3D"	"2"	"5d.6p"	"3F*"	"2"		"T5037"	"L9224"	
"783.9569"	"783.9570+"	"5"	""		"24979.834"	"37732.127"	"5d.6p"	"3D*"	"3"	"5d.6d"	"3F"	"4"		""	"L9224"	
"787.7801"	"787.7798+"	"2"	"1.6e+06"	C+	"18060.261"	"30750.672"	"6s.6p"	"1P*"	"1"	"6s.6d"	"3D"	"2"		"T5495"	"L9224"	
"790.5747"	"790.5747+"	"150"	"2.6e+07"	C+	"13514.745"	"26160.293"	"6s.6p"	"3P*"	"2"	"6s.7s"	"3S"	"1"		"T5495"	"L9224"	
"791.1329"	"791.1330+"	"160"	"2.98e+05"	D	"0.000"	"12636.623"	"6s2"	"1S"	"0"	"6s.6p"	"3P*"	"1"		"T4515"	"L9224"	
"798.2440"	"798.2440+"	"1"	""		"24979.834"	"37503.887"	"5d.6p"	"3D*"	"3"	"5d.6d"	"3F"	"3"		""	"L9224"	
