obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
""	"537.2665"	""	"3.33e+04"	D	"88151.170"	"106758.731"	"2s.2p4"	"4P"	"3/2"	"2s2.2p2.(3P).4p"	"4D*"	"1/2"		"u18,LS"	""	
""	"537.8273"	""	"1.66e+05"	D+	"88170.570"	"106758.731"	"2s.2p4"	"4P"	"1/2"	"2s2.2p2.(3P).4p"	"4D*"	"1/2"		"u18,LS"	""	
""	"547.180"	""	"1.39e+05"	D+	"96750.840"	"115021.3"	"2s2.2p2.(3P).3p"	"4S*"	"3/2"	"2s2.2p2.(3P).8s"	"4P"	"5/2"		"T5723LS"	""	
""	"549.652"	""	"1.37e+05"	D+	"96750.840"	"114939.1"	"2s2.2p2.(3P).3p"	"4S*"	"3/2"	"2s2.2p2.(3P).8s"	"4P"	"3/2"		"T5723LS"	""	
""	"551.019"	""	"1.36e+05"	D+	"96750.840"	"114894.0"	"2s2.2p2.(3P).3p"	"4S*"	"3/2"	"2s2.2p2.(3P).8s"	"4P"	"1/2"		"T5723LS"	""	
""	"551.1696"	""	"1.29e+05"	C	"94770.880"	"112909.076"	"2s2.2p2.(3P).3p"	"4D*"	"1/2"	"2s2.2p2.(3P).5d"	"4D"	"3/2"		"u18,LS"	""	
""	"551.309"	""	"2.57e+05"	C	"94770.880"	"112904.5"	"2s2.2p2.(3P).3p"	"4D*"	"1/2"	"2s2.2p2.(3P).5d"	"4D"	"1/2"		"u18,LS"	""	
""	"551.8102"	""	"1.20e+05"	C	"94793.490"	"112910.630"	"2s2.2p2.(3P).3p"	"4D*"	"3/2"	"2s2.2p2.(3P).5d"	"4D"	"5/2"		"u18,LS"	""	
""	"551.8576"	""	"2.05e+05"	C	"94793.490"	"112909.076"	"2s2.2p2.(3P).3p"	"4D*"	"3/2"	"2s2.2p2.(3P).5d"	"4D"	"3/2"		"u18,LS"	""	
""	"551.997"	""	"2.56e+05"	C	"94793.490"	"112904.5"	"2s2.2p2.(3P).3p"	"4D*"	"3/2"	"2s2.2p2.(3P).5d"	"4D"	"1/2"		"u18,LS"	""	
""	"552.9380"	""	"7.26e+04"	C	"94830.890"	"112911.079"	"2s2.2p2.(3P).3p"	"4D*"	"5/2"	"2s2.2p2.(3P).5d"	"4D"	"7/2"		"u18,LS"	""	
""	"552.9517"	""	"2.92e+05"	C	"94830.890"	"112910.630"	"2s2.2p2.(3P).3p"	"4D*"	"5/2"	"2s2.2p2.(3P).5d"	"4D"	"5/2"		"u18,LS"	""	
""	"552.9992"	""	"1.78e+05"	C	"94830.890"	"112909.076"	"2s2.2p2.(3P).3p"	"4D*"	"5/2"	"2s2.2p2.(3P).5d"	"4D"	"3/2"		"u18,LS"	""	
""	"554.5000"	""	"4.33e+05"	C	"94881.820"	"112911.079"	"2s2.2p2.(3P).3p"	"4D*"	"7/2"	"2s2.2p2.(3P).5d"	"4D"	"7/2"		"u18,LS"	""	
""	"554.5138"	""	"9.59e+04"	C	"94881.820"	"112910.630"	"2s2.2p2.(3P).3p"	"4D*"	"7/2"	"2s2.2p2.(3P).5d"	"4D"	"5/2"		"u18,LS"	""	
""	"555.7383"	""	"9.94e+05"	C	"94770.880"	"112759.966"	"2s2.2p2.(3P).3p"	"4D*"	"1/2"	"2s2.2p2.(3P).5d"	"4F"	"3/2"		"u18,LS"	""	
""	"556.0337"	""	"1.42e+06"	C	"94881.820"	"112861.348"	"2s2.2p2.(3P).3p"	"4D*"	"7/2"	"2s2.2p2.(3P).5d"	"4F"	"9/2"		"u18,LS"	""	
""	"556.4265"	""	"1.21e+06"	C	"94830.890"	"112797.725"	"2s2.2p2.(3P).3p"	"4D*"	"5/2"	"2s2.2p2.(3P).5d"	"4F"	"7/2"		"u18,LS"	""	
""	"556.4265"	""	"1.06e+06"	C	"94793.490"	"112760.325"	"2s2.2p2.(3P).3p"	"4D*"	"3/2"	"2s2.2p2.(3P).5d"	"4F"	"5/2"		"u18,LS"	""	
""	"556.4377"	""	"3.96e+05"	C	"94793.490"	"112759.966"	"2s2.2p2.(3P).3p"	"4D*"	"3/2"	"2s2.2p2.(3P).5d"	"4F"	"3/2"		"u18,LS"	""	
""	"557.5872"	""	"3.42e+05"	C	"94830.890"	"112760.325"	"2s2.2p2.(3P).3p"	"4D*"	"5/2"	"2s2.2p2.(3P).5d"	"4F"	"5/2"		"u18,LS"	""	
""	"557.5984"	""	"2.81e+04"	D+	"94830.890"	"112759.966"	"2s2.2p2.(3P).3p"	"4D*"	"5/2"	"2s2.2p2.(3P).5d"	"4F"	"3/2"		"u18,LS"	""	
""	"558.0083"	""	"2.00e+05"	C	"94881.820"	"112797.725"	"2s2.2p2.(3P).3p"	"4D*"	"7/2"	"2s2.2p2.(3P).5d"	"4F"	"7/2"		"u18,LS"	""	
""	"559.1756"	""	"1.35e+04"	D+	"94881.820"	"112760.325"	"2s2.2p2.(3P).3p"	"4D*"	"7/2"	"2s2.2p2.(3P).5d"	"4F"	"5/2"		"u18,LS"	""	
""	"571.314"	""	"8.94e+04"	D+	"96750.840"	"114249.5"	"2s2.2p2.(3P).3p"	"4S*"	"3/2"	"2s2.2p2.(3P).6d"	"4P"	"1/2"		"T5723LS"	""	
""	"572.935"	""	"8.87e+04"	D+	"96750.840"	"114200.0"	"2s2.2p2.(3P).3p"	"4S*"	"3/2"	"2s2.2p2.(3P).6d"	"4P"	"3/2"		"T5723LS"	""	
""	"573.211"	""	"8.85e+04"	D+	"96750.840"	"114191.6"	"2s2.2p2.(3P).3p"	"4S*"	"3/2"	"2s2.2p2.(3P).6d"	"4P"	"5/2"		"T5723LS"	""	
""	"573.4405"	""	"4.47e+05"	C	"95475.310"	"112909.076"	"2s2.2p2.(3P).3p"	"4P*"	"1/2"	"2s2.2p2.(3P).5d"	"4D"	"3/2"		"u18,LS"	""	
""	"573.591"	""	"8.94e+05"	C	"95475.310"	"112904.5"	"2s2.2p2.(3P).3p"	"4P*"	"1/2"	"2s2.2p2.(3P).5d"	"4D"	"1/2"		"u18,LS"	""	
""	"573.9945"	""	"7.49e+05"	C	"95493.690"	"112910.630"	"2s2.2p2.(3P).3p"	"4P*"	"3/2"	"2s2.2p2.(3P).5d"	"4D"	"5/2"		"u18,LS"	""	
""	"574.0457"	""	"5.71e+05"	C	"95493.690"	"112909.076"	"2s2.2p2.(3P).3p"	"4P*"	"3/2"	"2s2.2p2.(3P).5d"	"4D"	"3/2"		"u18,LS"	""	
""	"574.197"	""	"1.78e+05"	C	"95493.690"	"112904.5"	"2s2.2p2.(3P).3p"	"4P*"	"3/2"	"2s2.2p2.(3P).5d"	"4D"	"1/2"		"u18,LS"	""	
""	"574.6958"	""	"2.21e+05"	D+	"96750.840"	"114146.525"	"2s2.2p2.(3P).3p"	"4S*"	"3/2"	"2s2.2p2.(3P).7s"	"4P"	"5/2"		"T5723LS"	""	
"575.250"	"575.2499"	"700"	"1.06e+06"	C	"95532.150"	"112911.079"	"2s2.2p2.(3P).3p"	"4P*"	"5/2"	"2s2.2p2.(3P).5d"	"4D"	"7/2"		"u18,LS"	"L3513"	
""	"575.2648"	""	"3.19e+05"	C	"95532.150"	"112910.630"	"2s2.2p2.(3P).3p"	"4P*"	"5/2"	"2s2.2p2.(3P).5d"	"4D"	"5/2"		"u18,LS"	""	
""	"575.3162"	""	"5.31e+04"	C	"95532.150"	"112909.076"	"2s2.2p2.(3P).3p"	"4P*"	"5/2"	"2s2.2p2.(3P).5d"	"4D"	"3/2"		"u18,LS"	""	
"576.475"	""	"240"	""		""	""	""	""	""	""	""	""		""	"L3513"	
""	"577.1967"	""	"2.18e+05"	D+	"96750.840"	"114071.153"	"2s2.2p2.(3P).3p"	"4S*"	"3/2"	"2s2.2p2.(3P).7s"	"4P"	"3/2"		"T5723LS"	""	
""	"578.6835"	""	"2.16e+05"	D+	"96750.840"	"114026.654"	"2s2.2p2.(3P).3p"	"4S*"	"3/2"	"2s2.2p2.(3P).7s"	"4P"	"1/2"		"T5723LS"	""	
"582.954"	""	"265"	""		""	""	""	""	""	""	""	""		""	"L3513"	
"585.404"	""	"235"	""		""	""	""	""	""	""	""	""		""	"L3513"	
"599.943"	"599.9431"	"160"	"3.64e+06"	C+	"93581.550"	"110245.183"	"2s2.2p2.(3P).3p"	"2S*"	"1/2"	"2s2.2p2.(3P).4d"	"2P"	"1/2"		"T6340"	"L3513"	
"600.847"	"600.8473"	"210"	"3.58e+06"	C+	"93581.550"	"110220.107"	"2s2.2p2.(3P).3p"	"2S*"	"1/2"	"2s2.2p2.(3P).4d"	"2P"	"3/2"		"T6340"	"L3513"	
""	"610.338"	""	"2.1e-04"	D	"83284.070"	"99663.912"	"2s2.2p2.(3P).3s"	"4P"	"1/2"	"2s2.2p2.(1D).3s"	"2D"	"3/2"	M1	"T7370"	""	
""	"611.598"	""	"8.1e-04"	D	"83317.830"	"99663.912"	"2s2.2p2.(3P).3s"	"4P"	"3/2"	"2s2.2p2.(1D).3s"	"2D"	"3/2"	M1	"T7370"	""	
""	"611.616"	""	"4.4e-04"	D	"83317.830"	"99663.427"	"2s2.2p2.(3P).3s"	"4P"	"3/2"	"2s2.2p2.(1D).3s"	"2D"	"5/2"	M1	"T7370"	""	
""	"613.372"	""	"2.2e-03"	D	"83364.620"	"99663.427"	"2s2.2p2.(3P).3s"	"4P"	"5/2"	"2s2.2p2.(1D).3s"	"2D"	"5/2"	M1	"T7370"	""	
""	"618.7123"	""	"9.02e+03"	D+	"96787.680"	"112945.809"	"2s2.2p2.(3P).3p"	"2D*"	"3/2"	"2s2.2p2.(3P).5d"	"2D"	"5/2"		"u18,LS"	""	
""	"619.4313"	""	"1.21e+05"	C	"96787.680"	"112927.055"	"2s2.2p2.(3P).3p"	"2D*"	"3/2"	"2s2.2p2.(3P).5d"	"2D"	"3/2"		"u18,LS"	""	
""	"620.198"	""	"2.80e+05"	D+	"96750.840"	"112870.27"	"2s2.2p2.(3P).3p"	"4S*"	"3/2"	"2s2.2p2.(3P).5d"	"4P"	"1/2"		"T5723LS"	""	
