obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"596.0361"	"0.0003"	"596.03620"	"0.00008"	"1"	""		"41018.051"	"57790.909"	"3d6.(5D).4s.4p.(1P*)"	"x 5F*"	"2"	"3d7.(4F).6s"	"3F"	"2"		""	"L11631"	
"596.1524"	"0.0003"	"596.15239"	"0.00008"	"1"	""		"40871.412"	"57641.001"	"3d8"	"3P"	"2"	"3d6.(3D).4s.4p.(3P*)"	"t 3F*"	"3"		""	"L11631"	
"596.1918"	"0.0003"	"596.19178"	"0.00005"	"2"	""		"34039.516"	"50807.997"	"3d7.(4F).4p"	"y 5F*"	"4"	"3d6.(5D).4s (6D).4d"	"f 7D"	"4"		""	"L11631"	
"596.2219"	"0.0005"	"596.22190"	"0.00005"	"1"	""		"37157.566"	"53925.200"	"3d6.(5D).4s.4p.(1P*)"	"y 5P*"	"2"	"3d7.(4F).4d"	"f 5P"	"1"		""	"L11631"	
"596.3065"	"0.0005"	"596.30543"	"0.00005"	"2"	""		"29371.812"	"46137.097"	"3d6.4s2"	"b 3D"	"3"	"3d7.(4P).4p"	"w 5P*"	"3"		""	"L11631"	
"596.32382"	"0.00011"	"596.32389"	"0.00005"	"3"	""		"17927.382"	"34692.148"	"3d7.(4P).4s"	"a 5P"	"1"	"3d7.(4F).4p"	"y 5F*"	"1"		""	"L11631"	
"596.5471"	"0.0003"	"596.54690"	"0.00005"	"2"	""		"34121.603"	"50880.102"	"3d7.(4F).4p"	"y 5D*"	"0"	"3d6.(5D).4s (6D).4d"	"f 5D"	"1"		""	"L11631"	
"596.5694"	"0.0003"	"596.56904"	"0.00005"	"2"	""		"26351.040"	"43108.917"	"3d7.(2H).4s"	"b 3H"	"5"	"3d6.(3H).4s.4p.(3P*)"	"z 5H*"	"4"		""	"L11631"	
"596.59905"	"0.00011"	"596.59887"	"0.00005"	"5"	""		"39969.853"	"56726.892"	"3d6.(5D).4s.4p.(1P*)"	"x 5D*"	"3"	"3d6.4s.(6D).5d"	"5F"	"3"		""	"L11631"	
"596.6980"	"0.0003"	"596.69812"	"0.00005"	"2"	""		"32873.632"	"49627.884"	"3d8"	"c 3F"	"4"	"3d7.(2G).4p"	"v 3G*"	"4"		""	"L11631"	
"596.95618"	"0.00011"	"596.95619"	"0.00005"	"7"	""		"34547.211"	"51294.220"	"3d7.(4F).4p"	"y 5F*"	"2"	"3d6.(5D).4s (4D).5s"	"e 3D"	"3"		""	"L11631"	
"597.3470"	"0.0003"	"597.34716"	"0.00011"	"2"	""		"41018.051"	"57754.099"	"3d6.(5D).4s.4p.(1P*)"	"x 5F*"	"2"	"3d7.(4F).6s"	"5F"	"1"		""	"L11631"	
"597.5346"	"0.0007"	"597.53471"	"0.00008"	"257bl*"	""		"32873.632"	"49604.427"	"3d8"	"c 3F"	"4"	"3d7.(2G).4p"	"y 3H*"	"5"		""	"L11631"	
"597.5346"	"0.0007"	"597.535"	"0.003"	"257bl*"	""		"38995.736"	"55726.52?"	"3d7.(4F).4p"	"y 3D*"	"1"	"3d7.(4F).4d"	"e 3P"	"0"		""	"L11631"	
"597.61600"	"0.00011"	"597.61601"	"0.00005"	"4"	""		"34636.792"	"51365.311"	"3d6.4s2"	"b 1D2"	"2"	"3d7.(2D2).4p"	"v 3F*"	"3"		""	"L11631"	
"597.64387"	"0.00011"	"597.64384"	"0.00005"	"7"	""		"33695.397"	"50423.137"	"3d7.(4F).4p"	"y 5F*"	"5"	"3d6.(5D).4s (6D).4d"	"f 5D"	"4"		""	"L11631"	
"597.67767"	"0.00011"	"597.67764"	"0.00005"	"490"	""		"31805.071"	"48531.865"	"3d6.(5D).4s.4p.(3P*)"	"z 3F*"	"3"	"3d7.(4F).5s"	"e 3F"	"3"		""	"L11631"	
"597.8323"	"0.0005"	"597.83254"	"0.00008"	"2"	""		"40491.284"	"57213.744"	"3d6.(5D).4s.4p.(1P*)"	"x 5D*"	"0"	"3d6.4s.(6D).5d"	"7F"	"1"		""	"L11631"	
"597.8894"	"0.0003"	"597.88914"	"0.00008"	"2"	""		"40231.336"	"56952.213"	"3d6.(5D).4s.4p.(1P*)"	"x 5D*"	"2"	"3d6.4s.(6D).5d"	"5F"	"2"		""	"L11631"	
"598.13647"	"0.00011"	"598.13647"	"0.00008"	"4"	""		"29313.008"	"46026.971"	"3d6.4s2"	"a 1I"	"6"	"3d6.(3H).4s.4p.(3P*)"	"z 3I*"	"6"		""	"L11631"	
"598.1754"	"0.0007"	"598.17494"	"0.00008"	"9bl"	""		"40594.432"	"57307.320"	"3d6.(5D).4s.4p.(1P*)"	"x 5F*"	"4"	"3d6.4s.(6D).5d"	"7F"	"4"		""	"L11631"	
"598.2312"	"0.0003"	"598.23100"	"0.00008"	"4"	""		"39625.804"	"56337.126"	"3d6.(5D).4s.4p.(1P*)"	"x 5D*"	"4"	"3d6.4s.(6D).5d"	"5D"	"3"		""	"L11631"	
"598.36806"	"0.00011"	"598.36796"	"0.00005"	"437"	""		"36686.176"	"53393.673"	"3d7.(4F).4p"	"y 3F*"	"4"	"3d7.(4F).4d"	"g 5F"	"4"		""	"L11631"	
"598.48147"	"0.00011"	"598.48148"	"0.00005"	"690"	""		"38175.355"	"54879.683"	"3d7.(4F).4p"	"y 3D*"	"3"	"3d7.(4F).4d"	"e 3P"	"2"		""	"L11631"	
"598.5188"	"0.0003"	"598.51860"	"0.00008"	"4"	""		"39969.853"	"56673.145"	"3d6.(5D).4s.4p.(1P*)"	"x 5D*"	"3"	"3d6.4s.(6D).5d"	"5G"	"4"		""	"L11631"	
"598.69559"	"0.00011"	"598.69555"	"0.00008"	"10"	""		"26627.609"	"43325.964"	"3d7.(2H).4s"	"b 3H"	"4"	"3d6.(3H).4s.4p.(3P*)"	"z 5H*"	"3"		""	"L11631"	
"598.70645"	"0.00011"	"598.70645"	"0.00008"	"363"	""		"38678.039"	"55376.090"	"3d7.(4F).4p"	"y 3D*"	"2"	"3d7.(4F).4d"	"e 3P"	"1"		""	"L11631"	
"598.8556"	"0.0003"	"598.85558"	"0.00008"	"2"	""		"40871.412"	"57565.305"	"3d8"	"3P"	"2"	"3d6.(3P2).4s.4p.(1P*)"	"3D*"	"3"		""	"L11631"	
"599.1261"	"0.0003"	"599.12600"	"0.00008"	"2"	""		"40842.154"	"57528.512"	"3d6.(5D).4s.4p.(1P*)"	"x 5F*"	"3"	"3d7.(4F).6s"	"5F"	"2"		""	"L11631"	
"599.2641"	"0.0003"	"599.26416"	"0.00005"	"1"	""		"33695.397"	"50377.908"	"3d7.(4F).4p"	"y 5F*"	"5"	"3d6.(5D).4s (6D).4d"	"f 7D"	"5"		""	"L11631"	
"599.2998"	"0.0003"	"599.29987"	"0.00005"	"2"	""		"34017.103"	"50698.620"	"3d7.(4F).4p"	"y 5D*"	"1"	"3d6.(5D).4s (6D).4d"	"f 5D"	"2"		""	"L11631"	
"599.4544"	"0.0003"	"599.45429"	"0.00005"	"1"	""		"28604.613"	"45281.833"	"3d7.(2D2).4s"	"a 1D"	"2"	"3d6.(3P2).4s.4p.(3P*)"	"x 3D*"	"2"		""	"L11631"	
"599.5914"	"0.0003"	"599.59130"	"0.00005"	"3"	""		"37157.566"	"53830.975"	"3d6.(5D).4s.4p.(1P*)"	"y 5P*"	"2"	"3d7.(4F).4d"	"g 5F"	"3"		""	"L11631"	
"599.76745"	"0.00011"	"599.76746"	"0.00015"	"4"	""		"40842.154"	"57510.666"	"3d6.(5D).4s.4p.(1P*)"	"x 5F*"	"3"	"3d7.(4F).6s"	"5F"	"3"		""	"L11631"	
"599.77774"	"0.00011"	"599.77764"	"0.00005"	"129"	""		"37162.746"	"53830.975"	"3d7.(4F).4p"	"y 3F*"	"3"	"3d7.(4F).4d"	"g 5F"	"3"		""	"L11631"	
"599.89381"	"0.00011"	"599.89385"	"0.00008"	"3"	""		"29313.008"	"45978.008"	"3d6.4s2"	"a 1I"	"6"	"3d6.(3H).4s.4p.(3P*)"	"z 3I*"	"7"		""	"L11631"	
"600.0630"	"0.0005"	"600.06273"	"0.00008"	"1"	""		"41130.599"	"57790.909"	"3d6.(5D).4s.4p.(1P*)"	"x 5F*"	"1"	"3d7.(4F).6s"	"3F"	"2"		""	"L11631"	
"600.30119"	"0.00011"	"600.30108"	"0.00005"	"980"	""		"31307.245"	"47960.940"	"3d6.(5D).4s.4p.(3P*)"	"z 3F*"	"4"	"3d7.(4F).5s"	"e 3F"	"4"		""	"L11631"	
"600.55409"	"0.00011"	"600.55409"	"0.00005"	"49"	""		"20874.482"	"37521.161"	"3d6.4s2"	"b 3F2"	"3"	"3d7.(4F).4p"	"y 3F*"	"2"		""	"L11631"	
"600.77146"	"0.00011"	"600.77143"	"0.00008"	"6"	""		"26351.040"	"42991.697"	"3d7.(2H).4s"	"b 3H"	"5"	"3d6.(3H).4s.4p.(3P*)"	"z 5H*"	"5"		""	"L11631"	
"600.79597"	"0.00011"	"600.79594"	"0.00005"	"295"	""		"37521.161"	"54161.139"	"3d7.(4F).4p"	"y 3F*"	"2"	"3d7.(4F).4d"	"f 5G"	"3"		""	"L11631"	
"600.85562"	"0.00011"	"600.85556"	"0.00005"	"1150"	""		"31322.613"	"47960.940"	"3d6.(5D).4s.4p.(3P*)"	"z 3D*"	"3"	"3d7.(4F).5s"	"e 3F"	"4"		""	"L11631"	
"600.9826"	"0.0007"	"600.98209"	"0.00005"	"3bl*"	""		"36975.588"	"53610.412"	"3d7.(2F).4s"	"d 3F"	"3"	"3d7.(4F).5p"	"5D*"	"4"		""	"L11631"	
"600.9826"	"0.0007"	"600.98263"	"0.00008"	"3bl*"	""		"26224.969"	"42859.778"	"3d7.(2D2).4s"	"a 3D"	"3"	"3d6.(3P2).4s.4p.(3P*)"	"x 5P*"	"2"		""	"L11631"	
"601.22095"	"0.00011"	"601.22095"	"0.00005"	"56"	"1.69e+04"	C+	"17927.382"	"34555.597"	"3d7.(4P).4s"	"a 5P"	"1"	"3d6.(5D).4s.4p.(3P*)"	"z 3P*"	"0"		"T5783"	"L11631"	
"601.24373"	"0.00011"	"601.24363"	"0.00008"	"5"	""		"38678.039"	"55305.627"	"3d7.(4F).4p"	"y 3D*"	"2"	"3d6.4s.(6D).6s"	"5D"	"1"		""	"L11631"	
"601.2758"	"0.0003"	"601.27548"	"0.00005"	"1"	""		"36766.966"	"53393.673"	"3d6.(5D).4s.4p.(1P*)"	"y 5P*"	"3"	"3d7.(4F).4d"	"g 5F"	"4"		""	"L11631"	
"601.3914"	"0.0003"	"601.39148"	"0.00011"	"3"	""		"41130.599"	"57754.099"	"3d6.(5D).4s.4p.(1P*)"	"x 5F*"	"1"	"3d7.(4F).6s"	"5F"	"1"		""	"L11631"	
"601.52439"	"0.00011"	"601.52432"	"0.00005"	"5"	""		"17927.382"	"34547.211"	"3d7.(4P).4s"	"a 5P"	"1"	"3d7.(4F).4p"	"y 5F*"	"2"		""	"L11631"	
